Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides puf3a	Peptides puf3b	Peptides puf3c	Peptides puf3d	Peptides puf3e	Peptides wta	Peptides wtb	Peptides wtc	Peptides wtd	Peptides wte	Razor + unique peptides puf3a	Razor + unique peptides puf3b	Razor + unique peptides puf3c	Razor + unique peptides puf3d	Razor + unique peptides puf3e	Razor + unique peptides wta	Razor + unique peptides wtb	Razor + unique peptides wtc	Razor + unique peptides wtd	Razor + unique peptides wte	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Experiment puf3a	Experiment puf3b	Experiment puf3c	Experiment puf3d	Experiment puf3e	Experiment wta	Experiment wtb	Experiment wtc	Experiment wtd	Experiment wte	PEP	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	Intensity	Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	LFQ intensity puf3a	LFQ intensity puf3b	LFQ intensity puf3c	LFQ intensity puf3d	LFQ intensity puf3e	LFQ intensity wta	LFQ intensity wtb	LFQ intensity wtc	LFQ intensity wtd	LFQ intensity wte	MS/MS Count puf3a	MS/MS Count puf3b	MS/MS Count puf3c	MS/MS Count puf3d	MS/MS Count puf3e	MS/MS Count wta	MS/MS Count wtb	MS/MS Count wtc	MS/MS Count wtd	MS/MS Count wte	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YJR096W	YJR096W	1	1	1	>YJR096W YJR096W SGDID:S000003857, Chr X from 611195-612043, Genome Release 64-1-1, Verified ORF, Putative xylose and arabinose reductase; member of the aldo-keto reductase (AKR) family; GFP-fusion protein is induced in response to the DNA-damaging agent 	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	4.3	4.3	4.3	32.344	282	282	8							1		1								1		1		4.0763E-05	0	0	0	0	0	0	4.3	0	4.3	0	3352200	0	0	0	0	0	0	1520000	0	1832200	0	0	0	0	0	0	0	0	0	2627100	0	0	0	0	0	0	0	1	0	1	0				1117	10052	True	10199	60819;60820	68712;68713	68713		
YJR097W	YJR097W	1	1	1	>YJR097W JJJ3 SGDID:S000003858, Chr X from 612413-612931, Genome Release 64-1-1, Verified ORF, Protein of unknown function, contains a J-domain, which is a region with homology to the E. coli DnaJ protein	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	7.6	7.6	7.6	20.027	172	172	5.83		1		1	1	1		1		1		1		1	1	1		1		1	5.5042E-18	0	7.6	0	7.6	7.6	7.6	0	7.6	0	7.6	10351000	0	1885700	0	1876200	2113600	1633200	0	1354400	0	1487500	0	0	0	0	0	0	0	0	0	1679600	0	1	0	1	1	1	0	1	0	1				1118	9860	True	10003	59681;59682;59683;59684;59685;59686	67462;67463;67464;67465;67466;67467	67464		
YJR099W	YJR099W	1	1	1	>YJR099W YUH1 SGDID:S000003860, Chr X from 615576-616286, Genome Release 64-1-1, Verified ORF, Ubiquitin C-terminal hydrolase that cleaves ubiquitin-protein fusions to generate monomeric ubiquitin; hydrolyzes the peptide bond at the C-terminus of ubiquiti	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	6.4	6.4	6.4	26.385	236	236	4.82	2	1	2	1	1		1	1	1	1	2	1	2	1	1		1	1	1	1	2.8162E-20	6.4	6.4	6.4	6.4	6.4	0	6.4	6.4	6.4	6.4	42552000	7323200	4028900	7769900	3604400	7622000	0	3766700	3301300	2718900	2417000	6926600	0	7263100	0	0	0	0	0	0	0	2	1	2	1	1	0	1	1	1	1				1119	9345	True	9482	56744;56745;56746;56747;56748;56749;56750;56751;56752;56753;56754	64154;64155;64156;64157;64158;64159;64160;64161;64162;64163;64164	64154		
YJR101W	YJR101W	1	1	1	>YJR101W RSM26 SGDID:S000003862, Chr X from 618234-619034, Genome Release 64-1-1, Verified ORF, Mitochondrial ribosomal protein of the small subunit	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	5.3	5.3	5.3	30.223	266	266	4.71	1	1	1	1	1			1		1	1	1	1	1	1			1		1	5.6122E-28	5.3	5.3	5.3	5.3	5.3	0	0	5.3	0	5.3	26054000	3355700	4521200	3182100	4610900	6108500	0	0	1791000	0	2484600	0	0	0	0	0	0	0	0	0	2805400	1	1	1	1	1	0	0	1	0	1				1120	8494	True	8622	52115;52116;52117;52118;52119;52120;52121	59097;59098;59099;59100;59101;59102;59103	59100		
YJR103W	YJR103W	7	5	5	>YJR103W URA8 SGDID:S000003864, Chr X from 620754-622490, Genome Release 64-1-1, Verified ORF, Minor CTP synthase isozyme (see also URA7), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de 	1	7	5	5	1	1	1	6	2	2	2	2	2	1	1	1	1	5	2	2	2	1	2	1	1	1	1	5	2	2	2	1	2	1	18.9	14.2	14.2	64.51	578	578	5.44	1	1	1	5	2	2	2	1	2	1	1	1	1	5	2	2	2	1	2	1	4.2926E-37	3.1	2.2	3.1	15.6	6.2	5.4	5.4	6.4	5.4	3.1	91748000	7951400	2055000	7947200	27296000	12025000	9633100	6805100	6134900	5483500	6417000	0	0	0	15615000	0	16501000	12404000	0	11327000	0	1	1	1	5	2	2	2	1	2	1				1121	2420;3644;3966;4360;6483;7295;11310	False;True;True;False;True;True;True	2456;3686;4010;4410;6558;7381;11480	14563;21912;23846;23847;23848;23849;23850;26357;40015;40016;45198;69103;69104;69105;69106;69107;69108;69109;69110;69111	16439;24808;26979;26980;26981;26982;26983;29899;45512;45513;51379;78731;78732;78733;78734;78735;78736;78737;78738;78739	16439;24808;26983;29899;45513;51379;78736		
YJR104C	YJR104C	10	10	10	>YJR104C SOD1 SGDID:S000003865, Chr X from 623014-622550, Genome Release 64-1-1, reverse complement, Verified ORF, Cytosolic copper-zinc superoxide dismutase; some mutations are analogous to those that cause ALS (amyotrophic lateral sclerosis) in humans	1	10	10	10	7	7	7	9	7	8	8	7	9	9	7	7	7	9	7	8	8	7	9	9	7	7	7	9	7	8	8	7	9	9	87.7	87.7	87.7	15.854	154	154	5.53	10	8	11	11	10	9	9	9	10	11	10	8	11	11	10	9	9	9	10	11	6.4672E-140	70.1	59.1	58.4	81.2	59.1	74.7	64.9	68.8	81.2	81.2	12682000000	1141500000	1312500000	1628900000	1362300000	1617700000	1012900000	1338600000	1053300000	1014100000	1200500000	1463500000	1224500000	1535900000	1010900000	1291600000	1173700000	1633800000	1474800000	1559500000	1174200000	12	12	15	11	13	11	12	13	13	11				1122	2903;3471;3563;4394;6609;10378;10379;10706;10741;12073	True;True;True;True;True;True;True;True;True;True	2943;3512;3605;4445;6685;10527;10528;10860;10898;12256	17701;17702;17703;17704;17705;17706;17707;17708;17709;17710;17711;20877;21450;21451;21452;21453;21454;21455;26541;26542;26543;26544;26545;26546;40884;40885;40886;40887;40888;40889;40890;40891;40892;40893;40894;40895;40896;62841;62842;62843;62844;62845;62846;62847;62848;62849;62850;62851;62852;62853;62854;62855;62856;62857;62858;62859;62860;62861;62862;62863;62864;62865;62866;62867;62868;62869;62870;62871;62872;65054;65055;65056;65057;65058;65059;65060;65061;65062;65063;65064;65065;65066;65444;65445;65446;65447;65448;65449;74504;74505;74506;74507;74508;74509;74510;74511;74512;74513	20073;20074;20075;20076;20077;20078;20079;20080;20081;20082;20083;20084;20085;20086;20087;23625;24318;24319;24320;24321;24322;24323;30084;30085;30086;30087;30088;30089;46485;46486;46487;46488;46489;46490;46491;46492;46493;46494;46495;46496;46497;46498;46499;46500;46501;46502;46503;46504;46505;46506;71117;71118;71119;71120;71121;71122;71123;71124;71125;71126;71127;71128;71129;71130;71131;71132;71133;71134;71135;71136;71137;71138;71139;71140;71141;71142;71143;71144;71145;71146;71147;71148;71149;71150;71151;71152;73907;73908;73909;73910;73911;73912;73913;73914;73915;73916;73917;73918;73919;73920;73921;73922;73923;73924;73925;73926;74470;74471;74472;74473;74474;74475;84932;84933;84934;84935;84936;84937;84938;84939;84940;84941;84942;84943;84944;84945	20083;23625;24321;30084;46490;71121;71142;73920;74470;84941		
YJR105W	YJR105W	12	12	12	>YJR105W ADO1 SGDID:S000003866, Chr X from 623581-624603, Genome Release 64-1-1, Verified ORF, Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle	1	12	12	12	8	11	10	11	9	11	9	8	11	10	8	11	10	11	9	11	9	8	11	10	8	11	10	11	9	11	9	8	11	10	54.1	54.1	54.1	36.372	340	340	5.41	13	16	14	14	10	18	13	10	16	12	13	16	14	14	10	18	13	10	16	12	1.9338E-296	34.4	51.2	48.2	51.2	44.7	51.2	39.7	36.8	46.8	42.6	9196100000	661230000	1212100000	1091400000	1146600000	868550000	1042500000	698750000	849530000	665410000	959950000	1143900000	1096600000	881680000	1051100000	889760000	1035000000	882570000	950800000	876360000	1127700000	13	18	17	15	11	18	14	11	17	14				1123	1026;2403;2450;4021;4407;5392;7440;7642;9861;9878;10496;11287	True;True;True;True;True;True;True;True;True;True;True;True	1045;2439;2487;4066;4458;5452;7528;7730;7731;10004;10022;10023;10648;11456	7005;7006;7007;7008;7009;7010;7011;7012;7013;7014;7015;7016;14504;14505;14707;14708;14709;14710;14711;14712;14713;14714;14715;24131;24132;24133;24134;24135;24136;24137;24138;24139;24140;24141;24142;26639;26640;26641;26642;26643;26644;26645;26646;26647;26648;33272;33273;33274;33275;33276;33277;33278;33279;33280;33281;33282;33283;33284;33285;46094;46095;46096;46097;46098;46099;46100;46101;46102;47292;47293;47294;47295;47296;47297;47298;47299;47300;47301;47302;59687;59688;59689;59690;59691;59692;59693;59694;59695;59696;59697;59698;59699;59700;59701;59702;59703;59704;59705;59706;59819;59820;59821;59822;59823;59824;59825;59826;59827;59828;59829;59830;59831;59832;59833;59834;63605;63606;63607;63608;63609;68928;68929;68930;68931;68932;68933;68934;68935;68936;68937;68938;68939;68940;68941;68942;68943	8076;8077;8078;8079;8080;8081;8082;8083;8084;8085;8086;8087;16379;16380;16591;16592;16593;16594;16595;16596;16597;16598;16599;27278;27279;27280;27281;27282;27283;27284;27285;27286;27287;27288;27289;27290;30184;30185;30186;30187;30188;30189;30190;30191;30192;30193;38009;38010;38011;38012;38013;38014;38015;38016;38017;38018;38019;38020;38021;38022;38023;52421;52422;52423;52424;52425;52426;52427;52428;52429;52430;52431;52432;53825;53826;53827;53828;53829;53830;53831;53832;53833;53834;53835;67468;67469;67470;67471;67472;67473;67474;67475;67476;67477;67478;67479;67480;67481;67482;67483;67484;67485;67486;67487;67488;67489;67490;67491;67492;67493;67494;67495;67496;67630;67631;67632;67633;67634;67635;67636;67637;67638;67639;67640;67641;67642;67643;67644;67645;72052;72053;72054;72055;72056;78536;78537;78538;78539;78540;78541;78542;78543;78544;78545;78546;78547;78548;78549;78550;78551;78552;78553;78554;78555	8079;16380;16591;27290;30189;38015;52430;53826;67496;67639;72052;78538	108;109;110	46;55;109
YJR109C	YJR109C	29	27	27	>YJR109C CPA2 SGDID:S000003870, Chr X from 632941-629585, Genome Release 64-1-1, reverse complement, Verified ORF, Large subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor	1	29	27	27	12	11	13	13	12	16	15	11	13	14	11	10	12	12	11	15	14	11	12	14	11	10	12	12	11	15	14	11	12	14	34.7	32.9	32.9	123.91	1118	1118	5.62	12	11	15	13	11	16	15	13	13	14	12	11	15	13	11	16	15	13	13	14	0	15.6	13.7	19.3	18.3	13.7	18.5	19.4	13.5	17.3	20.4	2321300000	242140000	201660000	260330000	328400000	201970000	189250000	270160000	185380000	189080000	252920000	255540000	251850000	206640000	273720000	205900000	249240000	321680000	240650000	274780000	246370000	12	11	15	13	12	16	15	14	13	15				1124	209;839;924;1089;1406;1480;2265;2663;3302;4556;4736;4943;5320;5509;6013;6085;7384;7591;8540;8746;9005;9096;9282;10881;10893;11238;11732;11857;12054	True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	211;857;943;1108;1427;1502;2297;2700;3342;4610;4790;4998;5379;5571;6080;6153;7471;7679;8668;8876;9137;9229;9416;11041;11053;11407;11909;12038;12237	1451;1452;5663;5664;5665;5666;5667;5668;5669;6284;6285;7345;9093;9094;9095;9096;9097;9098;9527;9528;13799;13800;13801;13802;13803;13804;13805;13806;13807;13808;13809;13810;13811;13812;13813;13814;13815;13816;16021;19846;19847;19848;19849;19850;19851;19852;19853;19854;27509;27510;27511;28929;28930;28931;28932;28933;28934;28935;28936;28937;30375;30376;30377;30378;30379;30380;30381;30382;32892;32893;32894;32895;32896;32897;34148;34149;37083;37084;37085;37086;37087;37088;37536;37537;45728;45729;45730;45731;45732;45733;47034;52450;53454;54870;55378;56358;56359;56360;56361;56362;56363;56364;56365;56366;56367;66298;66299;66300;66301;66302;66303;66304;66305;66306;66346;66347;66348;66349;66350;66351;66352;66353;66354;66355;66356;68464;68465;68466;68467;68468;68469;68470;68471;68472;72062;72931;72932;72933;72934;74395;74396	1707;1708;6468;6469;6470;6471;6472;6473;6474;7221;7222;8438;10324;10325;10326;10327;10328;10329;10788;10789;15613;15614;15615;15616;15617;15618;15619;15620;15621;15622;15623;15624;15625;15626;15627;15628;15629;15630;15631;15632;15633;18031;22450;22451;22452;22453;22454;22455;22456;22457;22458;31127;31128;31129;32905;32906;32907;32908;32909;32910;32911;32912;32913;34635;34636;34637;34638;34639;34640;34641;34642;37575;37576;37577;37578;37579;37580;39021;39022;42208;42209;42210;42211;42212;42213;42707;42708;51994;51995;51996;51997;51998;51999;53509;59520;60627;62132;62702;63756;63757;63758;63759;63760;63761;63762;63763;63764;63765;75440;75441;75442;75443;75444;75445;75446;75447;75448;75488;75489;75490;75491;75492;75493;75494;75495;75496;75497;75498;77929;77930;77931;77932;77933;77934;77935;77936;77937;82022;83042;83043;83044;83045;84806;84807	1708;6471;7221;8438;10328;10789;15618;18031;22455;31129;32912;34637;37579;39021;42211;42707;51995;53509;59520;60627;62132;62702;63762;75446;75493;77931;82022;83044;84806		
YJR113C	YJR113C	1	1	1	>YJR113C RSM7 SGDID:S000003874, Chr X from 638975-638232, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S7 ribosomal protein	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6.1	6.1	6.1	27.816	247	247	1	1										1										0.00041322	6.1	0	0	0	0	0	0	0	0	0	5044100	5044100	0	0	0	0	0	0	0	0	0	5044100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				1125	2750	True	2787	16559	18583	18583		
YJR121W	YJR121W	14	14	14	>YJR121W ATP2 SGDID:S000003882, Chr X from 647607-649142, Genome Release 64-1-1, Verified ORF, Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphor	1	14	14	14	9	7	7	11	7	10	8	10	10	6	9	7	7	11	7	10	8	10	10	6	9	7	7	11	7	10	8	10	10	6	36.4	36.4	36.4	54.793	511	511	5.44	10	8	9	12	8	10	9	11	11	6	10	8	9	12	8	10	9	11	11	6	3.3977E-164	23.9	20.9	20.2	29.7	20.9	27.8	23.3	27.8	27.8	17	2646700000	284980000	246060000	280760000	413150000	300830000	250950000	189380000	235870000	216240000	228530000	295980000	273500000	293540000	315520000	263830000	290650000	298000000	258740000	283020000	263800000	11	8	9	12	8	11	10	12	12	7				1126	318;3317;3688;4735;4853;5150;6688;6737;10758;11274;11403;11833;12085;12293	True;True;True;True;True;True;True;True;True;True;True;True;True;True	324;3357;3730;4789;4907;5208;6764;6813;10917;11443;11575;12014;12268;12481	2214;2215;2216;2217;2218;19935;19936;19937;19938;19939;19940;19941;19942;22178;22179;22180;22181;22182;22183;22184;22185;22186;22187;22188;22189;22190;22191;22192;22193;22194;28925;28926;28927;28928;29907;29908;29909;29910;29911;29912;29913;29914;29915;29916;31708;31709;31710;31711;31712;31713;31714;31715;31716;41353;41354;41355;41356;41357;41629;41630;41631;41632;41633;41634;41635;41636;41637;41638;65648;65649;65650;65651;68849;68850;68851;68852;68853;68854;68855;68856;69773;72730;72731;72732;72733;72734;72735;72736;72737;72738;72739;72740;74550;75733	2528;2529;2530;2531;2532;22540;22541;22542;22543;22544;22545;22546;22547;25102;25103;25104;25105;25106;25107;25108;25109;25110;25111;25112;25113;25114;25115;25116;25117;25118;25119;32901;32902;32903;32904;34113;34114;34115;34116;34117;34118;34119;34120;34121;34122;36192;36193;36194;36195;36196;36197;36198;36199;36200;47030;47031;47032;47033;47034;47360;47361;47362;47363;47364;47365;47366;47367;47368;47369;74692;74693;74694;74695;78446;78447;78448;78449;78450;78451;78452;78453;79454;82781;82782;82783;82784;82785;82786;82787;82788;82789;82790;82791;82792;82793;82794;82795;82796;84982;86312	2529;22544;25113;32901;34117;36193;47030;47364;74695;78447;79454;82789;84982;86312		
YJR122W	YJR122W	1	1	1	>YJR122W IBA57 SGDID:S000003883, Chr X from 649776-651269, Genome Release 64-1-1, Verified ORF, Mitochondrial matrix protein involved in the incorporation of iron-sulfur clusters into mitochondrial aconitase-type proteins; activates the radical-SAM family	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3.6	3.6	3.6	57.054	497	497	5					1										1						3.1399E-15	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1127	8248	True	8372	50682	57472	57472		
YJR123W	YJR123W	13	13	13	>YJR123W RPS5 SGDID:S000003884, Chr X from 651901-652578, Genome Release 64-1-1, Verified ORF, Protein component of the small (40S) ribosomal subunit, the least basic of the non-acidic ribosomal proteins; phosphorylated in vivo; essential for viability; h	1	13	13	13	11	9	10	11	9	9	10	9	10	9	11	9	10	11	9	9	10	9	10	9	11	9	10	11	9	9	10	9	10	9	43.6	43.6	43.6	25.038	225	225	5.66	16	16	23	29	26	23	23	25	20	22	16	16	23	29	26	23	23	25	20	22	6.1095E-128	38.7	30.2	30.2	34.7	38.7	30.2	34.7	34.2	30.2	35.1	42942000000	4410500000	5045500000	4882300000	5165300000	6500200000	3945300000	2558100000	3576600000	2913000000	3945300000	4178200000	4742900000	4526200000	5037200000	4419300000	4149800000	3717800000	4766300000	4474500000	4899100000	17	18	26	24	23	24	23	19	18	23				1128	702;1181;3974;5553;7393;8619;8620;8900;9149;9171;10756;11996;12496	True;True;True;True;True;True;True;True;True;True;True;True;True	717;1201;4018;5616;7480;7481;8749;8750;9032;9282;9304;10915;12179;12690	4725;4726;4727;4728;4729;4730;4731;4732;4733;7814;7815;7816;7817;7818;7819;7820;7821;7822;7823;7824;7825;7826;7827;7828;7829;7830;7831;23882;34399;34400;34401;34402;34403;34404;34405;34406;34407;34408;34409;34410;34411;45788;45789;45790;45791;45792;45793;52878;52879;52880;52881;52882;52883;52884;52885;52886;52887;52888;52889;52890;52891;52892;52893;52894;52895;52896;52897;52898;52899;54268;54269;55641;55642;55643;55644;55645;55646;55647;55648;55649;55650;55788;55789;55790;65536;65537;65538;65539;65540;65541;65542;65543;65544;65545;65546;65547;65548;65549;65550;65551;65552;65553;65554;65555;65556;65557;65558;65559;65560;65561;65562;65563;65564;65565;65566;65567;65568;65569;65570;65571;65572;65573;65574;65575;65576;65577;65578;65579;65580;65581;65582;65583;65584;65585;65586;65587;65588;65589;65590;65591;65592;65593;65594;65595;65596;65597;65598;65599;65600;65601;65602;65603;65604;65605;65606;65607;65608;65609;65610;65611;65612;65613;65614;65615;65616;65617;65618;65619;65620;65621;65622;65623;65624;65625;65626;65627;65628;65629;65630;65631;65632;65633;65634;65635;65636;65637;65638;65639;65640;65641;65642;65643;65644;65645;73791;73792;73793;73794;73795;73796;73797;73798;73799;73800;73801;73802;73803;73804;73805;73806;73807;73808;73809;77383;77384;77385;77386;77387;77388;77389;77390;77391;77392	5359;5360;5361;5362;5363;5364;5365;5366;5367;5368;8947;8948;8949;8950;8951;8952;8953;8954;8955;8956;8957;8958;8959;8960;8961;8962;8963;8964;8965;8966;27015;39300;39301;39302;39303;39304;39305;39306;39307;39308;39309;39310;39311;39312;52054;52055;52056;52057;52058;52059;60023;60024;60025;60026;60027;60028;60029;60030;60031;60032;60033;60034;60035;60036;60037;60038;60039;60040;60041;60042;60043;60044;60045;60046;60047;60048;60049;60050;61496;61497;62992;62993;62994;62995;62996;62997;62998;62999;63000;63001;63160;63161;63162;74564;74565;74566;74567;74568;74569;74570;74571;74572;74573;74574;74575;74576;74577;74578;74579;74580;74581;74582;74583;74584;74585;74586;74587;74588;74589;74590;74591;74592;74593;74594;74595;74596;74597;74598;74599;74600;74601;74602;74603;74604;74605;74606;74607;74608;74609;74610;74611;74612;74613;74614;74615;74616;74617;74618;74619;74620;74621;74622;74623;74624;74625;74626;74627;74628;74629;74630;74631;74632;74633;74634;74635;74636;74637;74638;74639;74640;74641;74642;74643;74644;74645;74646;74647;74648;74649;74650;74651;74652;74653;74654;74655;74656;74657;74658;74659;74660;74661;74662;74663;74664;74665;74666;74667;74668;74669;74670;74671;74672;74673;74674;74675;74676;74677;74678;74679;74680;74681;74682;74683;74684;74685;74686;74687;74688;74689;84061;84062;84063;84064;84065;84066;84067;84068;84069;84070;84071;84072;84073;84074;84075;84076;84077;84078;84079;84080;84081;84082;88285;88286;88287;88288;88289;88290;88291;88292;88293;88294	5361;8949;27015;39311;52057;60038;60041;61496;63001;63161;74655;84080;88292	111	99
YJR125C	YJR125C	2	2	2	>YJR125C ENT3 SGDID:S000003886, Chr X from 655963-654737, Genome Release 64-1-1, reverse complement, Verified ORF, Protein containing an N-terminal epsin-like domain involved in clathrin recruitment and traffic between the Golgi and endosomes; associates 	1	2	2	2	1	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	2	2	1	2	6.9	6.9	6.9	45.091	408	408	5.61	1	2	2	2	1	3	2	2	1	2	1	2	2	2	1	3	2	2	1	2	2.9563E-34	3.2	6.9	6.9	6.9	3.2	6.9	6.9	6.9	3.2	6.9	133960000	8544500	16463000	15230000	16645000	11112000	17928000	10877000	13691000	5351600	18115000	0	16246000	15476000	17903000	0	18001000	16624000	18210000	0	18746000	1	2	2	2	1	3	2	2	1	2				1129	5947;9753	True;True	6013;9895	36597;36598;36599;36600;36601;36602;36603;36604;36605;36606;36607;59071;59072;59073;59074;59075;59076;59077	41677;41678;41679;41680;41681;41682;41683;41684;41685;41686;41687;66828;66829;66830;66831;66832;66833;66834	41686;66832		
YJR132W	YJR132W	3	3	3	>YJR132W NMD5 SGDID:S000003893, Chr X from 669522-672668, Genome Release 64-1-1, Verified ORF, Karyopherin, a carrier protein involved in nuclear import of proteins; importin beta homolog	1	3	3	3	0	1	0	2	2	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	0	1	0	2	2	1	0	0	0	0	3.5	3.5	3.5	119.97	1048	1048	4		2		2	2	1						2		2	2	1					1.0982E-21	0	1.2	0	2.3	2.5	1.2	0	0	0	0	26032000	0	7872500	0	6261000	7096300	4802000	0	0	0	0	0	7876300	0	0	0	0	0	0	0	0	0	2	0	2	2	1	0	0	0	0				1130	969;6723;7210	True;True;True	988;6799;7295	6635;41550;41551;41552;41553;41554;44730	7640;47281;47282;47283;47284;47285;50873	7640;47281;50873		
YJR133W	YJR133W	2	2	2	>YJR133W XPT1 SGDID:S000003894, Chr X from 672991-673620, Genome Release 64-1-1, Verified ORF, Xanthine-guanine phosphoribosyl transferase, required for xanthine utilization and for optimal utilization of guanine	1	2	2	2	0	1	1	0	2	2	0	0	0	0	0	1	1	0	2	2	0	0	0	0	0	1	1	0	2	2	0	0	0	0	17.2	17.2	17.2	23.671	209	209	4.5		1	1		2	2						1	1		2	2					9.224E-07	0	12.4	4.8	0	17.2	17.2	0	0	0	0	83574000	0	14605000	11668000	0	33909000	23392000	0	0	0	0	0	0	0	0	27245000	28870000	0	0	0	0	0	1	1	0	2	2	0	0	0	0				1131	8112;12734	True;True	8234;12930	49978;49979;49980;78744;78745;78746	56752;56753;56754;89800;89801;89802	56754;89801		
YJR134C	YJR134C	2	2	2	>YJR134C SGM1 SGDID:S000003895, Chr X from 675852-673729, Genome Release 64-1-1, reverse complement, Verified ORF, Protein of unknown function, required for wild-type growth rate on galactose and mannose; localizes to COPI coated vesicles and the Golgi ap	1	2	2	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3.7	3.7	3.7	81.17	707	707	4			1		1								1		1						1.2555E-13	0	0	1.7	0	2	0	0	0	0	0	5231100	0	0	895600	0	4335500	0	0	0	0	0	0	0	791470	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0				1132	1304;10145	True;True	1325;10292	8481;61502	9643;69631	9643;69631		
YJR135W-A	YJR135W-A	4	4	4	>YJR135W-A TIM8 SGDID:S000007348, Chr X from 676971-677234, Genome Release 64-1-1, Verified ORF, Mitochondrial intermembrane space protein, forms a complex with Tim13p that delivers a subset of hydrophobic proteins to the TIM22 complex for inner membrane 	1	4	4	4	3	2	2	3	2	1	2	3	3	0	3	2	2	3	2	1	2	3	3	0	3	2	2	3	2	1	2	3	3	0	65.5	65.5	65.5	9.7638	87	87	5.05	3	2	2	3	2	1	2	3	3		3	2	2	3	2	1	2	3	3		1.4923E-59	57.5	47.1	47.1	55.2	47.1	19.5	47.1	55.2	57.5	0	234540000	37432000	15917000	33627000	30449000	64347000	4689800	15538000	18325000	14216000	0	35601000	21259000	33926000	17643000	52788000	0	26722000	17455000	17510000	0	3	2	2	3	2	1	2	3	3	0				1133	1116;3085;5426;10147	True;True;True;True	1135;3125;5486;10294	7442;7443;7444;7445;7446;7447;7448;7449;18578;18579;33507;33508;61510;61511;61512;61513;61514;61515;61516;61517;61518	8553;8554;8555;8556;8557;8558;8559;8560;20976;20977;38255;38256;69639;69640;69641;69642;69643;69644;69645;69646;69647	8557;20976;38255;69639		
